City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,53,100,13.8,overcast clouds
1,Kontagora,NG,10.3999,5.4695,76.08,68,33,3.85,scattered clouds
2,Bredasdorp,ZA,-34.5322,20.0403,61.63,35,9,5.82,clear sky
3,Qaanaaq,GL,77.484,-69.3632,29.14,93,100,4.25,overcast clouds
4,Chuy,UY,-33.6971,-53.4616,53.17,94,70,4.9,broken clouds
5,Geraldton,AU,-28.7667,114.6,66.61,39,100,32.21,overcast clouds
6,Busselton,AU,-33.65,115.3333,58.05,55,91,19.51,overcast clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,54.09,82,90,2.3,overcast clouds
8,Afsin,TR,38.2477,36.914,62.49,65,100,0.69,overcast clouds
9,The Valley,AI,18.217,-63.0578,82.26,79,12,17.65,few clouds
10,Kedrovyy,RU,56.1667,91.8167,41.41,61,100,8.25,overcast clouds
11,Waddan,LY,29.1614,16.139,82.29,22,0,4.18,clear sky
12,Hermanus,ZA,-34.4187,19.2345,65.12,46,8,6.78,clear sky
13,Georgetown,MY,5.4112,100.3354,82.33,92,20,2.3,few clouds
14,Cape Town,ZA,-33.9258,18.4232,69.12,44,0,10.36,clear sky
15,Adet,ET,11.2644,37.4888,58.66,80,24,4.47,few clouds
16,Jinka,ET,5.65,36.65,60.19,87,94,3.89,light rain
17,Upernavik,GL,72.7868,-56.1549,33.04,74,95,3.49,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,60,7.96,light rain
19,Victoria,HK,22.2855,114.1577,81.97,91,100,11.99,overcast clouds
20,Hambantota,LK,6.1241,81.1185,77.34,100,20,8.05,few clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,88,0,2.3,clear sky
22,Husavik,IS,66.0449,-17.3389,45.81,87,94,0.81,overcast clouds
23,Imbituba,BR,-28.24,-48.6703,61.86,99,100,7.0,overcast clouds
24,Mubi,NG,10.2676,13.2644,75.99,58,97,6.17,overcast clouds
25,Huarmey,PE,-10.0681,-78.1522,64.98,84,4,6.62,clear sky
26,Tasiilaq,GL,65.6145,-37.6368,32.63,62,96,2.39,overcast clouds
27,Idar,DE,49.7167,7.3,55.49,87,96,4.72,overcast clouds
28,Aasiaat,GL,68.7098,-52.8699,32.25,73,24,6.29,few clouds
29,Adamovka,RU,51.5223,59.9396,52.84,88,3,14.12,clear sky
30,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,0,1.52,clear sky
31,Opuwo,NA,-18.0607,13.84,54.7,46,0,7.78,clear sky
32,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,40,3.44,scattered clouds
33,Golkoy,TR,40.6875,37.6178,56.59,97,100,1.77,light rain
34,Bloemfontein,ZA,-29.1211,26.214,33.28,93,0,2.3,clear sky
35,Gouyave,GD,12.1646,-61.7296,81.37,78,20,23.02,few clouds
36,Shelburne,CA,44.0787,-80.2041,55.85,97,99,11.79,overcast clouds
37,Nouadhibou,MR,20.931,-17.0347,71.58,78,58,20.71,broken clouds
38,East London,ZA,-33.0153,27.9116,62.26,60,0,8.43,clear sky
39,San Cristobal,VE,7.7669,-72.225,71.78,98,45,2.37,scattered clouds
40,Kavaratti,IN,10.5669,72.642,82.8,75,100,12.66,overcast clouds
41,Dikson,RU,73.5069,80.5464,27.84,90,9,4.09,clear sky
42,Ondangwa,NA,-17.9167,15.95,48.2,40,0,3.44,clear sky
43,Nandyal,IN,15.4833,78.4833,85.21,61,63,10.02,broken clouds
44,Astana,KZ,51.1801,71.446,69.75,32,40,15.66,scattered clouds
45,Saint-Francois,FR,46.4154,3.9054,53.04,94,0,2.3,clear sky
46,La Rioja,ES,42.25,-2.5,55.18,76,100,4.79,overcast clouds
47,Ilulissat,GL,69.2167,-51.1,33.96,64,6,3.94,clear sky
48,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,11.5,broken clouds
49,San Miguel,SV,13.4833,-88.1833,75.72,97,100,2.57,overcast clouds
50,Berlevag,NO,70.8578,29.0864,40.95,87,100,6.91,overcast clouds
51,Umm Lajj,SA,25.0213,37.2685,84.43,42,0,8.1,clear sky
52,Cayenne,GF,4.9333,-52.3333,80.1,1,0,3.44,clear sky
53,Chinsali,ZM,-10.5414,32.0816,51.33,93,1,9.08,clear sky
54,Bengkulu,ID,-3.8004,102.2655,76.53,88,56,2.93,broken clouds
55,Port Elizabeth,ZA,-33.918,25.5701,60.31,62,0,6.91,clear sky
56,Pathankot,IN,32.2833,75.65,88.09,17,32,4.88,scattered clouds
57,Vila Velha,BR,-20.3297,-40.2925,69.75,77,0,5.75,clear sky
58,Nanortalik,GL,60.1432,-45.2371,39.99,86,100,2.01,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,63.32,60,0,11.77,clear sky
60,Manglaur,IN,29.8,77.8667,87.08,17,54,0.38,broken clouds
61,Kruisfontein,ZA,-34.0033,24.7314,60.98,37,0,10.33,clear sky
62,Hithadhoo,MV,-0.6,73.0833,82.44,68,100,5.37,overcast clouds
63,Padang,ID,-0.9492,100.3543,75.25,82,97,2.8,overcast clouds
64,Tulu Bolo,ET,8.6667,38.2167,56.52,88,100,4.21,overcast clouds
65,Belmonte,BR,-15.8631,-38.8828,71.49,83,41,2.77,scattered clouds
66,Jamestown,US,42.097,-79.2353,60.44,73,100,10.36,overcast clouds
67,Meulaboh,ID,4.1363,96.1285,77.05,77,100,3.15,overcast clouds
