City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,59.72,51,0,3.44,clear sky
1,Chicama,PE,-7.8447,-79.1469,59.54,85,97,6.08,overcast clouds
2,Roald,NO,62.5833,6.1333,46.33,93,22,3.44,few clouds
3,Mahebourg,MU,-20.4081,57.7,73.69,83,40,8.05,scattered clouds
4,Hithadhoo,MV,-0.6,73.0833,82.26,71,86,3.2,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,47.08,87,0,5.75,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,44.71,65,75,19.57,broken clouds
7,Dingle,PH,10.9995,122.6711,87.6,63,100,7.31,overcast clouds
8,Lebu,CL,-37.6167,-73.65,50.85,88,100,4.97,overcast clouds
9,Merrill,US,45.1805,-89.6835,58.15,96,100,0.0,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,44.26,70,75,14.97,light intensity drizzle
11,Klaksvik,FO,62.2266,-6.589,50.92,88,92,6.67,overcast clouds
12,Komsomolskiy,UZ,40.4272,71.7189,83.12,28,0,6.91,clear sky
13,Coihaique,CL,-45.5752,-72.0662,36.21,100,40,4.61,scattered clouds
14,Chuy,UY,-33.6971,-53.4616,54.12,95,100,4.63,overcast clouds
15,Korablino,RU,53.9164,40.0133,54.28,87,0,11.21,clear sky
16,Altay,CN,47.8667,88.1167,57.99,53,17,6.89,few clouds
17,Narsaq,GL,60.9167,-46.05,50.22,61,97,1.99,overcast clouds
18,Georgetown,MY,5.4112,100.3354,89.53,74,40,5.75,scattered clouds
19,Geraldton,AU,-28.7667,114.6,72.01,30,0,18.41,clear sky
20,Desterro,BR,-7.2906,-37.0939,64.49,96,5,7.52,clear sky
21,Lasa,IT,46.6166,10.7002,48.69,82,1,3.96,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,55.2,49,29,5.37,scattered clouds
23,Port Alfred,ZA,-33.5906,26.891,57.51,78,8,8.66,clear sky
24,Dikson,RU,73.5069,80.5464,31.06,91,100,14.43,overcast clouds
25,Malanje,AO,-9.5402,16.341,53.53,58,61,5.68,broken clouds
26,Mehamn,NO,71.0357,27.8492,46.31,83,81,22.01,broken clouds
27,Colmenar Viejo,ES,40.6591,-3.7676,65.71,62,29,3.29,scattered clouds
28,Cayenne,GF,4.9333,-52.3333,81.09,1,100,2.3,overcast clouds
29,Guia Lopes Da Laguna,BR,-21.4578,-56.1142,70.61,58,99,2.37,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,55.31,82,0,5.01,clear sky
31,Ginda,IN,30.6945,78.4932,83.71,15,0,5.55,clear sky
32,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,96,97,5.75,overcast clouds
33,Hermanus,ZA,-34.4187,19.2345,62.19,46,10,8.32,clear sky
34,Leh,IN,34.1667,77.5833,53.28,39,18,4.81,few clouds
35,Carnot,CF,4.9409,15.8665,67.8,98,100,1.3,light rain
36,Cananeia,BR,-25.0147,-47.9267,63.55,94,42,3.56,scattered clouds
37,Penzance,GB,50.1186,-5.5371,50.68,89,2,9.13,clear sky
38,Cidreira,BR,-30.1811,-50.2056,62.87,97,100,7.14,moderate rain
39,Teguldet,RU,57.3064,88.1667,41.4,90,100,6.44,overcast clouds
40,Saint-Denis,FR,48.9167,2.3333,57.11,90,0,4.61,clear sky
41,San Andres,CO,12.5847,-81.7006,82.42,83,75,4.61,broken clouds
42,Qaanaaq,GL,77.484,-69.3632,24.76,70,43,6.82,scattered clouds
43,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,57,7.92,broken clouds
44,Morros,BR,-9.4467,-46.3003,69.35,69,0,5.37,clear sky
45,Cape Town,ZA,-33.9258,18.4232,64.11,55,0,5.75,clear sky
46,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,8.05,light rain
47,Kruisfontein,ZA,-34.0033,24.7314,53.15,71,6,7.11,clear sky
48,Porto Novo,BJ,6.4965,2.6036,76.82,80,100,4.18,overcast clouds
49,Thinadhoo,MV,0.5333,72.9333,82.99,71,100,5.23,overcast clouds
50,Gewane,ET,10.1664,40.6453,82.4,45,68,4.29,light rain
